Task,Answer,a,b,c,d,comment,topic,level,tags,deck
Don't disturb Tony! He ____________ (to write) a letter at the moment.,2,write,is writing,writes,has written,"The phrase 'at the moment' means that the action is happening at this certain moment, right now. So, in this case we should always use the Present Continuous Tense. This Tense is formed: am/is/are + Verb-ing.",present tenses,1, 463 ,1200 Grammer Tests
"Jill wiped the table after supper, took a shower and ___________ (to go) to bed.",2,had gone,went,was going,has gone,When we talk about actions which happened one after another in the past we use the Past Simple Tense.,past tenses,1, 464 ,1200 Grammer Tests
Susan ________ (to go) to the birthday party this weekend. Sarah invited her a week ago.,3,goes,shall go,is going to go,has to go,If we have decided to do something or arranged to do something in the near future we use 'be going to'.,future tenses,1, 465 ,1200 Grammer Tests
These shoes _______________ (to make) in Italy.,1,were made,made,make,were make,"When we don't know who carries out the action, or it is obvious or unimportant to us, we use the Passive voice. The Passive is formed: BE + Past Participle",passive voice,1, 466 ,1200 Grammer Tests
Don't run! The dog ______________ get furious.,3,needs,should,may,must,We use the modal verb 'may' when it is possible that something will happen.,modal verbs,1, 467 ,1200 Grammer Tests
They _________ (to raise a child) two children.,1,bring up,bring on,bring after,bring at,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to bring up' means 'to raise a child'.",phrasal verbs,1, 468 ,1200 Grammer Tests
Choose  two forms of the verb 'to take' according to the order: Past Simple - Past Participle,4,taken - took,taken - taken,took - took,took - taken,TO TAKE - TOOK - TAKEN,irragular verbs,1, 469 ,1200 Grammer Tests
Is there _______ who can speak Italian?,4,everybody,nobody,somebody,anybody,"Everybody' and 'nobody' do not relate to the meaning of the sentence. 'Anybody' is used in interrogative sentences, while 'somebody' is used in affirmative sentences.",pronouns,1, 470 ,1200 Grammer Tests
Lily wants everything right now. She's too ________ .,3,inpatient,unpatient,impatient,dispatient,We should remember that the adjective 'patient' is used with the prefix 'im-',adjective,1, 471 ,1200 Grammer Tests
Ted passed the test _________.,3,successfuller,successful,successfully,successfullness,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or the place (where, when, how, how often, etc.) Many adverbs are formed from adding '-ly' or '-ily' to the adjective.",adverbs,1, 472 ,1200 Grammer Tests
"He is playing with the boy, ______ gave him a balloon two days ago.",2,which,who,whose,whom,We use 'who' for people in relative clauses when 'who' is a subject. 'Whose' and 'whom' are used as objects. We use 'which' to refer to animals and objects.,relative clauses,1, 473 ,1200 Grammer Tests
John announced the best solution ____ our problem.,4,on,in,for,to,We should remember that some nouns are used with specific prepositions after them: 'solution to',noun pluse preposition,1, 474 ,1200 Grammer Tests
I usually go to the GYM ____ Mondays and Thursdays.,4,for,at,in,on,It is correct to say 'on Mondays',prepositions,1, 475 ,1200 Grammer Tests
Your essay is full _____ mistakes.,3,for,with,of,to,We should remember that some adjectives are used with specific prepositions after them: 'full of',adjective pluse preposition,1, 476 ,1200 Grammer Tests
There are a few _________ (an oasis) in deserts.,3,oasiss,oasis,oases,oasises,"There are many nouns which have Greek or Latin origin. As a rule, they keep own endings: AN OASIS - TWO OASES",nouns,1, 477 ,1200 Grammer Tests
There are ________ books on the shelf.,2,much,many,a little,any,Many' is used before countable nouns. 'Much' and 'a little' - before uncountable. We use 'any' in negative sentences.,"some,any, a lot of , many , much ,etc..",1, 478 ,1200 Grammer Tests
The police _________ (to arrest) her if they ________ (to catch) her.,4,arrest/catch,arrest/will catch,will arrest/will catch,will arrest/catch,"When we speak about probable situations in the present or future we use Conditional 1: If-clause (if + Present Simple) - Main Clause (future/modal + present without 'to') or If-clause (if + Present Simple) - Main Clause (future + HAVE TO, OUGHT TO, BE TO + present without 'to').",conditionals,1, 479 ,1200 Grammer Tests
"""Teacher: """"Don't be so lazy"""".""",2,Teacher asked us did not to be so lazy.,Teacher asked us not to be so lazy.,Teacher asked us did not be so lazy.,Teacher asked us to be not so lazy.,When we need to transform a request into Reported Speech we use an introductory verb + the to-infinitive: asked not + to be,reported speech,1, 480 ,1200 Grammer Tests
Choose the sentence with the right word order,3,You can show me the way to  Westminster Abbey?,Can show you me the way to  Westminster Abbey?,Can you show me the way to Westminster Abbey?,To Westminster Abbey you can show me the way?,"When we want to ask a question with a modal verb we must place it in the first place: Modal Verb - Subject - Predicate - Object. 'Can' is a modal verb, 'you' - a subject, 'show' - a predicate, 'me the way to the Westminster Abbey' - an object.",word order,1, 481 ,1200 Grammer Tests
My husband gave me _ twenty five roses.,4,a,an,the,—,When we use numerals before nouns we don't use any article.,articles,1, 482 ,1200 Grammer Tests
Rachel __________ (to be) in Frankfurt since Sunday.,1,has been,is,is being,be,The action in this sentence started in the Past (on Monday) and continues in the Present. It means that Rachel is still in Frankfurt. In this case we should use the Present Perfect Tense:  has/have + Verb (-ed/Irregular),present tenses,1, 483 ,1200 Grammer Tests
Abraham Lincoln ______________ (to become) the 16th President of the United States in 1860.,1,became,was becoming,has become,had become,We use the Past Simple Tense when we talk about actions which happened at a definite time in the past.,past tenses,1, 484 ,1200 Grammer Tests
It's very cold today. I expect it ____________ (to snow) tomorrow.,2,is going to snow,will snow,shall snow,snows,"We use the Future Simple Tense when we make predictions about the future with the verbs 'expect, think, believe, etc.'",future tenses,1, 485 ,1200 Grammer Tests
The room _________ (to clean) tomorrow.,4,cleans,is cleaned,will clean,will be cleaned,"When we don't know who carries out the action, or it is obvious or unimportant to us, we use the Passive voice. In this sentence we speak about the action which will be completed in the future: Will Be + Past Participle.",passive voice,1, 486 ,1200 Grammer Tests
Carol is very ill. She _____________ take medicines every day.,3,can,may,must,might,We use the modal verb 'must' when we talk about duties or when it is necessary to do something.,modal verbs,1, 487 ,1200 Grammer Tests
It's a great pity that Helen and Bob _______ (to separate),2,gave up,broke up,brought up,woke up,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to break up' means 'to separate'.",phrasal verbs,1, 488 ,1200 Grammer Tests
Choose  two forms of the verb 'to wake' according to the order: Past Simple - Past Participle,3,woken - woke,woke - woke,woke - woken,woken - woken,TO WAKE - WOKE - WOKEN,irragular verbs,1, 489 ,1200 Grammer Tests
"Lisa, do you want to give anybody these flowers? - No, I've bought them for _______ .",4,yourself,themselves,mine,myself,When the same person is both the subject and the object in the sentence we place a reflexive pronoun after a verb or a preposition. 'Myself' is the right reflexive form of the personal pronoun 'I'. Other answers do not relate to the meaning.,pronouns,1, 490 ,1200 Grammer Tests
Jessy is being very ______ today!,4,ilpolite,unpolite,inpolite,impolite,We should remember that the adjective 'polite' is used with the prefix 'im-',adjective,1, 491 ,1200 Grammer Tests
The dog was waiting for him ________.,3,patienty,patient,patiently,patientful,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or the place (where, when, how, how often, etc.) Many adverbs are formed from adding '-ly' or '-ily' to the adjective.",adverbs,1, 492 ,1200 Grammer Tests
"Rachel told us the news, ______ we had already heard.",3,whom,who,which,whose,We use 'which' or 'that' for things in relative clauses.  'Whose' and 'whom' are used as objects.,relative clauses,1, 493 ,1200 Grammer Tests
